Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall,Temperature,Humidity
Sunflower,2018,Kharif,karnataka,95442.0,81315,1419.1,15480692.4,33404.7,0.787692308,13.0,24.85,75.45
Sunflower,2018,Rabi,karnataka,46439.0,24150,1419.1,7532405.8,16253.65,0.695,0.5700000000000001,25.264,40.664
Sunflower,2018,Summer,karnataka,2734.0,2422,1419.1,443454.8,956.9,1.086363636,5.26,29.975,50.845
Urad,2018,Kharif,karnataka,85094.0,41029,1419.1,13802246.8,29782.9,0.429285714,13.0,24.85,75.45
Urad,2018,Rabi,karnataka,2787.0,1484,1419.1,452051.4,975.45,0.47125,0.5700000000000001,25.264,40.664
Urad,2018,Summer,karnataka,1014.0,521,1419.1,164470.8,354.9,0.514285714,5.26,29.975,50.845
Wheat,2018,Rabi,karnataka,157525.0,163113,1419.1,25550555.0,55133.75,0.960740741,0.5700000000000001,25.264,40.664
Other Kharif pulses,2018,Kharif,kerala,1532.826,1316,2989.7,248624.3772,536.4891,1.076,55.74,24.282,89.306
Rice,2018,Summer,kerala,48858.28,196784,2989.7,7924813.016,17100.398,3.09,11.1,27.095,79.21000000000001
Arhar/Tur,2018,Kharif,tamil nadu,41381.0,51632,986.2,6711998.2,14483.35,1.188571429,12.09,28.504,67.178
Bajra,2018,Kharif,tamil nadu,31109.0,88494,986.2,5045879.8,10888.15,2.8308,12.09,28.504,67.178
Bajra,2018,Rabi,tamil nadu,15773.0,29516,986.2,2558380.6,5520.55,2.042692308,6.11,26.312,69.412
Castor seed,2018,Kharif,tamil nadu,4756.0,1526,986.2,771423.2,1664.6,0.333636364,12.09,28.504,67.178
Cotton(lint),2018,Kharif,tamil nadu,70023.0,151758,986.2,11357730.6,24508.05,2.13,12.09,28.504,67.178
Cotton(lint),2018,Rabi,tamil nadu,64899.0,168541,986.2,10526617.8,22714.65,2.738076923,6.11,26.312,69.412
Cowpea(Lobia),2018,Kharif,tamil nadu,44897.0,35418,986.2,7282293.4,15713.95,0.806,12.09,28.504,67.178
Cowpea(Lobia),2018,Rabi,tamil nadu,19985.0,17010,986.2,3241567.0,6994.75,0.8475,6.11,26.312,69.412
Gram,2018,Rabi,tamil nadu,5851.0,5419,986.2,949032.2,2047.85,0.945,6.11,26.312,69.412
Groundnut,2018,Kharif,tamil nadu,196543.0,426219,986.2,31879274.6,68790.05,2.235714286,12.09,28.504,67.178
Groundnut,2018,Rabi,tamil nadu,138952.0,485021,986.2,22538014.4,48633.2,3.243333333,6.11,26.312,69.412
Horse-gram,2018,Kharif,tamil nadu,4045.0,2883,986.2,656099.0,1415.75,0.685,12.09,28.504,67.178
Horse-gram,2018,Rabi,tamil nadu,73408.0,50647,986.2,11906777.6,25692.8,0.715652174,6.11,26.312,69.412
Jowar,2018,Kharif,tamil nadu,182554.0,209775,986.2,29610258.8,63893.9,1.5472,12.09,28.504,67.178
Jowar,2018,Rabi,tamil nadu,203288.0,254701,986.2,32973313.6,71150.8,1.4448,6.11,26.312,69.412
Maize,2018,Kharif,tamil nadu,168944.0,1283603,986.2,27402716.8,59130.4,7.625384615,12.09,28.504,67.178
Maize,2018,Rabi,tamil nadu,221658.0,1550834,986.2,35952927.6,77580.3,6.984,6.11,26.312,69.412
Moong(Green Gram),2018,Kharif,tamil nadu,26977.0,18186,986.2,4375669.4,9441.95,0.6508,12.09,28.504,67.178
Moong(Green Gram),2018,Rabi,tamil nadu,143341.0,58676,986.2,23249910.2,50169.35,0.402857143,6.11,26.312,69.412
Onion,2018,Kharif,tamil nadu,12414.0,108888,986.2,2013550.8,4344.9,8.912692308,12.09,28.504,67.178
Onion,2018,Rabi,tamil nadu,19273.0,109707,986.2,3126080.6,6745.55,5.878518519,6.11,26.312,69.412
Other  Rabi pulses,2018,Rabi,tamil nadu,20761.0,16051,986.2,3367434.2,7266.35,0.7015,6.11,26.312,69.412
Other Cereals,2018,Kharif,tamil nadu,1685.0,2286,986.2,273307.0,589.75,1.262941176,12.09,28.504,67.178
Other Cereals,2018,Rabi,tamil nadu,4262.0,10045,986.2,691296.4,1491.7,2.21,6.11,26.312,69.412
Other Kharif pulses,2018,Kharif,tamil nadu,28942.0,20808,986.2,4694392.4,10129.7,0.68952381,12.09,28.504,67.178
Potato,2018,Kharif,tamil nadu,2334.0,25622,986.2,378574.8,816.9,13.195,12.09,28.504,67.178
Potato,2018,Rabi,tamil nadu,1198.0,23750,986.2,194315.6,419.3,23.2225,6.11,26.312,69.412
Ragi,2018,Kharif,tamil nadu,56917.0,178988,986.2,9231937.4,19920.95,3.1396,12.09,28.504,67.178
Ragi,2018,Rabi,tamil nadu,21676.0,76983,986.2,3515847.2,7586.6,3.486153846,6.11,26.312,69.412
Rapeseed &Mustard,2018,Rabi,tamil nadu,305.0,71,986.2,49471.0,106.75,0.08,6.11,26.312,69.412
Rice,2018,Summer,tamil nadu,236904.0,992095,986.2,38425828.8,82916.4,3.997333333,3.7600000000000002,30.479999999999997,63.0
Sesamum,2018,Kharif,tamil nadu,9457.0,4494,986.2,1533925.4,3309.95,0.472,12.09,28.504,67.178
Sesamum,2018,Rabi,tamil nadu,35153.0,19932,986.2,5701816.6,12303.55,0.516551724,6.11,26.312,69.412
Small millets,2018,Kharif,tamil nadu,15961.0,26420,986.2,2588874.2,5586.35,1.340555556,12.09,28.504,67.178
Small millets,2018,Rabi,tamil nadu,344.0,511,986.2,55796.8,120.4,1.577692308,6.11,26.312,69.412
Sunflower,2018,Kharif,tamil nadu,486.0,843,986.2,78829.2,170.1,1.78,12.09,28.504,67.178
Sunflower,2018,Rabi,tamil nadu,4556.0,2630,986.2,738983.2,1594.6,0.556470588,6.11,26.312,69.412
Urad,2018,Kharif,tamil nadu,44495.0,33810,986.2,7217089.0,15573.25,0.777,12.09,28.504,67.178
Urad,2018,Rabi,tamil nadu,396479.0,240497,986.2,64308893.8,138767.65,0.607,6.11,26.312,69.412
Arecanut,2019,Kharif,andhra pradesh,1096.0,10418,899.2,188248.96,405.52,7.253333333,28.41,29.064,73.606
Arhar/Tur,2019,Kharif,andhra pradesh,237647.0,114451,899.2,40818248.72,87929.39,0.44,28.41,29.064,73.606
Arhar/Tur,2019,Rabi,andhra pradesh,5940.0,3747,899.2,1020254.4,2197.8,0.43,2.31,25.815999999999995,72.148
Bajra,2019,Kharif,andhra pradesh,20484.0,47045,899.2,3518331.84,7579.08,2.004545455,28.41,29.064,73.606
Bajra,2019,Rabi,andhra pradesh,4592.0,11322,899.2,788721.92,1699.04,2.48,2.31,25.815999999999995,72.148
Cashewnut,2019,Kharif,andhra pradesh,115785.0,115785,899.2,19887231.6,42840.45,1.0,28.41,29.064,73.606
Castor seed,2019,Kharif,andhra pradesh,36827.0,25270,899.2,6325405.52,13625.99,0.7625,28.41,29.064,73.606
Castor seed,2019,Rabi,andhra pradesh,1056.0,637,899.2,181378.56,390.72,0.684,2.31,25.815999999999995,72.148
Coriander,2019,Rabi,andhra pradesh,1119.0,553,899.2,192199.44,414.03,0.50375,2.31,25.815999999999995,72.148
Cotton(lint),2019,Kharif,andhra pradesh,653953.0,424486,899.2,112322967.3,241962.61,0.543846154,28.41,29.064,73.606
Cotton(lint),2019,Rabi,andhra pradesh,3474.0,11066,899.2,596694.24,1285.38,3.305,2.31,25.815999999999995,72.148
Cowpea(Lobia),2019,Kharif,andhra pradesh,5816.0,2612,899.2,998956.16,2151.92,0.503333333,28.41,29.064,73.606
Cowpea(Lobia),2019,Rabi,andhra pradesh,6792.0,3532,899.2,1166593.92,2513.04,0.630909091,2.31,25.815999999999995,72.148
Dry chillies,2019,Kharif,andhra pradesh,136183.0,725388,899.2,23390792.08,50387.71,4.526666667,28.41,29.064,73.606
Dry chillies,2019,Rabi,andhra pradesh,16899.0,79638,899.2,2902572.24,6252.63,4.034615385,2.31,25.815999999999995,72.148
Ginger,2019,Kharif,andhra pradesh,294.0,633,899.2,50497.44,108.78,1.922,28.41,29.064,73.606
Gram,2019,Rabi,andhra pradesh,458579.0,558745,899.2,78765529.04,169674.23,1.443636364,2.31,25.815999999999995,72.148
Groundnut,2019,Kharif,andhra pradesh,567875.0,621906,899.2,97538210.0,210113.75,2.255384615,28.41,29.064,73.606
Groundnut,2019,Rabi,andhra pradesh,93389.0,227739,899.2,16040494.64,34553.93,2.812307692,2.31,25.815999999999995,72.148
Guar seed,2019,Kharif,andhra pradesh,1.0,0,899.2,171.76,0.37,0.0,28.41,29.064,73.606
Guar seed,2019,Rabi,andhra pradesh,6.0,0,899.2,1030.56,2.22,0.0,2.31,25.815999999999995,72.148
Horse-gram,2019,Kharif,andhra pradesh,83567.0,39442,899.2,14353467.92,30919.79,0.251666667,28.41,29.064,73.606
Horse-gram,2019,Rabi,andhra pradesh,29995.0,16670,899.2,5151941.2,11098.15,0.606923077,2.31,25.815999999999995,72.148
Jowar,2019,Kharif,andhra pradesh,36981.0,38880,899.2,6351856.56,13682.97,1.149,28.41,29.064,73.606
Jowar,2019,Rabi,andhra pradesh,117962.0,350076,899.2,20261153.12,43645.94,2.358,2.31,25.815999999999995,72.148
Linseed,2019,Kharif,andhra pradesh,133.0,0,899.2,22844.08,49.21,0.0,28.41,29.064,73.606
Maize,2019,Kharif,andhra pradesh,95591.0,450932,899.2,16418710.16,35368.67,4.653076923,28.41,29.064,73.606
Maize,2019,Rabi,andhra pradesh,205100.0,1670288,899.2,35227976.0,75887.0,6.698461538,2.31,25.815999999999995,72.148
Mesta,2019,Kharif,andhra pradesh,1714.0,18265,899.2,294396.64,634.18,10.135,28.41,29.064,73.606
Moong(Green Gram),2019,Kharif,andhra pradesh,13444.0,5138,899.2,2309141.44,4974.28,0.625384615,28.41,29.064,73.606
Moong(Green Gram),2019,Rabi,andhra pradesh,93535.0,81072,899.2,16065571.6,34607.95,0.885384615,2.31,25.815999999999995,72.148
Niger seed,2019,Rabi,andhra pradesh,4256.0,1409,899.2,731010.56,1574.72,0.33,2.31,25.815999999999995,72.148
Oilseeds total,2019,Kharif,andhra pradesh,712037.0,2914652,899.2,122299475.1,263453.69,8.527692308,28.41,29.064,73.606
Oilseeds total,2019,Rabi,andhra pradesh,141100.0,250093,899.2,24235336.0,52207.0,1.720769231,2.31,25.815999999999995,72.148
Onion,2019,Kharif,andhra pradesh,23864.0,524198,899.2,4098880.64,8829.68,22.22444444,28.41,29.064,73.606
Onion,2019,Rabi,andhra pradesh,12250.0,256890,899.2,2104060.0,4532.5,21.7675,2.31,25.815999999999995,72.148
Other  Rabi pulses,2019,Rabi,andhra pradesh,10770.0,11296,899.2,1849855.2,3984.9,1.23,2.31,25.815999999999995,72.148
Other Kharif pulses,2019,Kharif,andhra pradesh,1715.0,850,899.2,294568.4,634.55,0.656666667,28.41,29.064,73.606
Potato,2019,Kharif,andhra pradesh,453.0,6648,899.2,77807.28,167.61,12.21,28.41,29.064,73.606
Potato,2019,Rabi,andhra pradesh,1050.0,15919,899.2,180348.0,388.5,13.155,2.31,25.815999999999995,72.148
Ragi,2019,Kharif,andhra pradesh,25660.0,31913,899.2,4407361.6,9494.2,1.315,28.41,29.064,73.606
Ragi,2019,Rabi,andhra pradesh,7893.0,12385,899.2,1355701.68,2920.41,1.588888889,2.31,25.815999999999995,72.148
Rapeseed &Mustard,2019,Rabi,andhra pradesh,1882.0,912,899.2,323252.32,696.34,0.375,2.31,25.815999999999995,72.148
Rice,2019,Kharif,andhra pradesh,1526425.0,5342033,899.2,262178758.0,564777.25,3.517692308,28.41,29.064,73.606
Rice,2019,Rabi,andhra pradesh,829557.0,3798058,899.2,142484710.3,306936.09,3.873076923,2.31,25.815999999999995,72.148
Safflower,2019,Rabi,andhra pradesh,710.0,348,899.2,121949.6,262.7,0.475,2.31,25.815999999999995,72.148
Sannhamp,2019,Kharif,andhra pradesh,3365.0,0,899.2,577972.4,1245.05,0.0,28.41,29.064,73.606
Sannhamp,2019,Rabi,andhra pradesh,1133.0,0,899.2,194604.08,419.21,0.0,2.31,25.815999999999995,72.148
Sesamum,2019,Kharif,andhra pradesh,6197.0,1316,899.2,1064396.72,2292.89,0.286,28.41,29.064,73.606
Sesamum,2019,Rabi,andhra pradesh,32989.0,12129,899.2,5666190.64,12205.93,0.333076923,2.31,25.815999999999995,72.148
Small millets,2019,Kharif,andhra pradesh,19344.0,18085,899.2,3322525.44,7157.28,0.758333333,28.41,29.064,73.606
Small millets,2019,Rabi,andhra pradesh,3966.0,3990,899.2,681200.16,1467.42,0.921428571,2.31,25.815999999999995,72.148
Soyabean,2019,Kharif,andhra pradesh,1354.0,2367,899.2,232563.04,500.98,1.13,28.41,29.064,73.606
Soyabean,2019,Rabi,andhra pradesh,24.0,42,899.2,4122.24,8.88,1.39,2.31,25.815999999999995,72.148
Sugarcane,2019,Kharif,andhra pradesh,85911.0,6714729,899.2,14756073.36,31787.07,83.44538462,28.41,29.064,73.606
Sunflower,2019,Kharif,andhra pradesh,1869.0,1306,899.2,321019.44,691.53,1.23,28.41,29.064,73.606
Sunflower,2019,Rabi,andhra pradesh,6794.0,6877,899.2,1166937.44,2513.78,0.967692308,2.31,25.815999999999995,72.148
Sweet potato,2019,Kharif,andhra pradesh,54.0,895,899.2,9275.04,19.98,18.038,28.41,29.064,73.606
Sweet potato,2019,Rabi,andhra pradesh,360.0,6271,899.2,61833.6,133.2,16.747,2.31,25.815999999999995,72.148
Tapioca,2019,Kharif,andhra pradesh,6986.0,84845,899.2,1199915.36,2584.82,13.61166667,28.41,29.064,73.606
Tapioca,2019,Rabi,andhra pradesh,54.0,512,899.2,9275.04,19.98,14.415,2.31,25.815999999999995,72.148
Tobacco,2019,Kharif,andhra pradesh,36504.0,375719,899.2,6269927.04,13506.48,8.732352941,28.41,29.064,73.606
Tobacco,2019,Rabi,andhra pradesh,78051.0,165535,899.2,13406039.76,28878.87,2.428181818,2.31,25.815999999999995,72.148
Urad,2019,Kharif,andhra pradesh,15242.0,14254,899.2,2617965.92,5639.54,0.834615385,28.41,29.064,73.606
Urad,2019,Rabi,andhra pradesh,287929.0,315055,899.2,49454685.04,106533.73,0.944615385,2.31,25.815999999999995,72.148
Wheat,2019,Rabi,andhra pradesh,37.0,11,899.2,6355.12,13.69,0.155,2.31,25.815999999999995,72.148
other oilseeds,2019,Kharif,andhra pradesh,97782.0,2262487,899.2,16795036.32,36179.34,16.12818182,28.41,29.064,73.606
Arecanut,2019,Kharif,puducherry,52.0,78,1317.0,8931.52,19.24,1.5,23.76,29.201999999999998,75.59400000000001
Bajra,2019,Kharif,puducherry,14.0,36,1317.0,2404.64,5.18,2.57,23.76,29.201999999999998,75.59400000000001
Bajra,2019,Rabi,puducherry,1.0,3,1317.0,171.76,0.37,3.0,9.97,26.8,76.538
Bajra,2019,Summer,puducherry,7.0,18,1317.0,1202.32,2.59,2.57,1.4500000000000002,30.675,72.06
Banana,2019,Kharif,puducherry,273.0,16637,1317.0,46890.48,101.01,32.76666667,23.76,29.201999999999998,75.59400000000001
Black pepper,2019,Kharif,puducherry,11.0,15,1317.0,1889.36,4.07,1.36,23.76,29.201999999999998,75.59400000000001
Cashewnut,2019,Kharif,puducherry,145.0,65,1317.0,24905.2,53.65,0.426666667,23.76,29.201999999999998,75.59400000000001
Cotton(lint),2019,Kharif,puducherry,500.0,1248,1317.0,85880.0,185.0,2.745,23.76,29.201999999999998,75.59400000000001
Dry chillies,2019,Kharif,puducherry,2.0,26,1317.0,343.52,0.74,13.0,23.76,29.201999999999998,75.59400000000001
Dry chillies,2019,Rabi,puducherry,3.0,41,1317.0,515.28,1.11,13.67,9.97,26.8,76.538
Dry chillies,2019,Summer,puducherry,2.0,26,1317.0,343.52,0.74,13.0,1.4500000000000002,30.675,72.06
Groundnut,2019,Kharif,puducherry,1.0,3,1317.0,171.76,0.37,3.0,23.76,29.201999999999998,75.59400000000001
Groundnut,2019,Rabi,puducherry,231.0,693,1317.0,39676.56,85.47,3.0,9.97,26.8,76.538
Groundnut,2019,Summer,puducherry,21.0,63,1317.0,3606.96,7.77,3.0,1.4500000000000002,30.675,72.06
Moong(Green Gram),2019,Rabi,puducherry,12.0,9,1317.0,2061.12,4.44,0.75,9.97,26.8,76.538
Moong(Green Gram),2019,Summer,puducherry,629.0,156,1317.0,108037.04,232.73,0.606666667,1.4500000000000002,30.675,72.06
Onion,2019,Kharif,puducherry,2.0,10,1317.0,343.52,0.74,5.0,23.76,29.201999999999998,75.59400000000001
Onion,2019,Summer,puducherry,1.0,5,1317.0,171.76,0.37,5.0,1.4500000000000002,30.675,72.06
Other  Rabi pulses,2019,Rabi,puducherry,53.0,42,1317.0,9103.28,19.61,0.79,9.97,26.8,76.538
Other Kharif pulses,2019,Kharif,puducherry,5.0,4,1317.0,858.8,1.85,0.8,23.76,29.201999999999998,75.59400000000001
Other Summer Pulses,2019,Summer,puducherry,21.0,17,1317.0,3606.96,7.77,0.81,1.4500000000000002,30.675,72.06
Ragi,2019,Kharif,puducherry,32.0,77,1317.0,5496.32,11.84,2.41,23.76,29.201999999999998,75.59400000000001
Ragi,2019,Rabi,puducherry,4.0,10,1317.0,687.04,1.48,2.5,9.97,26.8,76.538
Ragi,2019,Summer,puducherry,23.0,55,1317.0,3950.48,8.51,2.39,1.4500000000000002,30.675,72.06
Rice,2019,Kharif,puducherry,4323.0,15171,1317.0,742518.48,1599.51,3.216666667,23.76,29.201999999999998,75.59400000000001
Rice,2019,Rabi,puducherry,9397.0,28114,1317.0,1614028.72,3476.89,3.883333333,9.97,26.8,76.538
Rice,2019,Summer,puducherry,4518.0,16060,1317.0,776011.68,1671.66,3.55,1.4500000000000002,30.675,72.06
Sesamum,2019,Kharif,puducherry,2.0,2,1317.0,343.52,0.74,1.0,23.76,29.201999999999998,75.59400000000001
Sesamum,2019,Rabi,puducherry,10.0,10,1317.0,1717.6,3.7,1.0,9.97,26.8,76.538
Sesamum,2019,Summer,puducherry,203.0,152,1317.0,34867.28,75.11,0.57,1.4500000000000002,30.675,72.06
Small millets,2019,Kharif,puducherry,14.0,17,1317.0,2404.64,5.18,1.21,23.76,29.201999999999998,75.59400000000001
Sugarcane,2019,Kharif,puducherry,1308.0,183120,1317.0,224662.08,483.96,140.0,23.76,29.201999999999998,75.59400000000001
Sweet potato,2019,Kharif,puducherry,5.0,45,1317.0,858.8,1.85,9.0,23.76,29.201999999999998,75.59400000000001
Sweet potato,2019,Rabi,puducherry,1.0,9,1317.0,171.76,0.37,9.0,9.97,26.8,76.538
Tapioca,2019,Kharif,puducherry,170.0,4218,1317.0,29199.2,62.9,29.75,23.76,29.201999999999998,75.59400000000001
Tapioca,2019,Rabi,puducherry,8.0,196,1317.0,1374.08,2.96,24.5,9.97,26.8,76.538
Turmeric,2019,Kharif,puducherry,11.0,165,1317.0,1889.36,4.07,15.0,23.76,29.201999999999998,75.59400000000001
Urad,2019,Kharif,puducherry,2.0,2,1317.0,343.52,0.74,1.0,23.76,29.201999999999998,75.59400000000001
Urad,2019,Rabi,puducherry,146.0,146,1317.0,25076.96,54.02,1.0,9.97,26.8,76.538
Urad,2019,Summer,puducherry,321.0,139,1317.0,55134.96,118.77,0.723333333,1.4500000000000002,30.675,72.06
Arecanut,2019,Rabi,assam,67223.0,52124,2084.7,11546222.48,24872.51,0.758181818,2.0,19.642,72.526
Arhar/Tur,2019,Kharif,assam,5830.0,5040,2084.7,1001360.8,2157.1,0.865925926,35.2,27.674,84.104
Castor seed,2019,Kharif,assam,748.0,345,2084.7,128476.48,276.76,0.632272727,35.2,27.674,84.104
Cotton(lint),2019,Kharif,assam,789.0,417,2084.7,135518.64,291.93,0.674444444,35.2,27.674,84.104
Gram,2019,Rabi,assam,2176.0,1523,2084.7,373749.76,805.12,0.648,2.0,19.642,72.526
Jute,2019,Kharif,assam,64247.0,791512,2084.7,11035064.72,23771.39,11.66851852,35.2,27.674,84.104
Linseed,2019,Rabi,assam,4885.0,3039,2084.7,839047.6,1807.45,0.588695652,2.0,19.642,72.526
Maize,2019,Kharif,assam,36636.0,128036,2084.7,6292599.36,13555.32,3.155555556,35.2,27.674,84.104
Masoor,2019,Rabi,assam,24122.0,18434,2084.7,4143194.72,8925.14,0.732962963,2.0,19.642,72.526
Mesta,2019,Kharif,assam,3221.0,20010,2084.7,553238.96,1191.77,6.1756,35.2,27.674,84.104
Moong(Green Gram),2019,Rabi,assam,10837.0,8163,2084.7,1861363.12,4009.69,0.705185185,2.0,19.642,72.526
Niger seed,2019,Kharif,assam,5715.0,3195,2084.7,981608.4,2114.55,0.545416667,35.2,27.674,84.104
Other  Rabi pulses,2019,Rabi,assam,15006.0,12467,2084.7,2577430.56,5552.22,0.695185185,2.0,19.642,72.526
Peas & beans (Pulses),2019,Rabi,assam,27891.0,26081,2084.7,4790558.16,10319.67,1.035185185,2.0,19.642,72.526
Rapeseed &Mustard,2019,Rabi,assam,287447.0,177226,2084.7,49371896.72,106355.39,0.583703704,2.0,19.642,72.526
Rice,2019,Summer,assam,395518.0,1025571,2084.7,67934171.68,146341.66,2.492307692,11.26,27.425,70.5
Sesamum,2019,Kharif,assam,12027.0,8534,2084.7,2065757.52,4449.99,0.661481481,35.2,27.674,84.104
Small millets,2019,Kharif,assam,5212.0,3226,2084.7,895213.12,1928.44,0.5792,35.2,27.674,84.104
Urad,2019,Rabi,assam,58100.0,34757,2084.7,9979256.0,21497.0,0.618888889,2.0,19.642,72.526
Wheat,2019,Rabi,assam,11336.0,14430,2084.7,1947071.36,4194.32,1.272083333,2.0,19.642,72.526
Arhar/Tur,2019,Kharif,karnataka,1626389.0,1125991,1422.3,279348574.6,601763.93,0.657586207,25.98,24.978,80.704
Bajra,2019,Kharif,karnataka,328048.0,355678,1422.3,56345524.48,121377.76,1.106666667,25.98,24.978,80.704
Bajra,2019,Summer,karnataka,10904.0,11378,1422.3,1872871.04,4034.48,1.038518519,2.02,31.295,42.625
Castor seed,2019,Kharif,karnataka,4144.0,3818,1422.3,711773.44,1533.28,0.904545455,25.98,24.978,80.704
Cotton(lint),2019,Kharif,karnataka,803067.0,2319158,1422.3,137934787.9,297134.79,2.51,25.98,24.978,80.704
Cotton(lint),2019,Rabi,karnataka,14393.0,10392,1422.3,2472141.68,5325.41,0.721363636,1.31,24.77,59.172000000000004
Cowpea(Lobia),2019,Kharif,karnataka,30586.0,8678,1422.3,5253451.36,11316.82,0.299333333,25.98,24.978,80.704
Cowpea(Lobia),2019,Rabi,karnataka,11051.0,5396,1422.3,1898119.76,4088.87,0.458928571,1.31,24.77,59.172000000000004
Cowpea(Lobia),2019,Summer,karnataka,4103.0,983,1422.3,704731.28,1518.11,0.197407407,2.02,31.295,42.625
Dry chillies,2019,Kharif,karnataka,74078.0,129238,1422.3,12723637.28,27408.86,1.992352941,25.98,24.978,80.704
Gram,2019,Rabi,karnataka,908637.0,674750,1422.3,156067491.1,336195.69,0.7125,1.31,24.77,59.172000000000004
Groundnut,2019,Kharif,karnataka,413854.0,369876,1422.3,71083563.04,153125.98,0.949285714,25.98,24.978,80.704
Groundnut,2019,Rabi,karnataka,2809.0,6504,1422.3,482473.84,1039.33,2.31,1.31,24.77,59.172000000000004
Groundnut,2019,Summer,karnataka,113518.0,127045,1422.3,19497851.68,42001.66,1.157307692,2.02,31.295,42.625
Horse-gram,2019,Kharif,karnataka,93699.0,71326,1422.3,16093740.24,34668.63,0.775185185,25.98,24.978,80.704
Horse-gram,2019,Rabi,karnataka,76212.0,50531,1422.3,13090173.12,28198.44,0.6675,1.31,24.77,59.172000000000004
Jowar,2019,Kharif,karnataka,178585.0,235257,1422.3,30673759.6,66076.45,1.383793103,25.98,24.978,80.704
Jowar,2019,Rabi,karnataka,730334.0,801928,1422.3,125442167.8,270223.58,1.095517241,1.31,24.77,59.172000000000004
Jowar,2019,Summer,karnataka,5069.0,8457,1422.3,870651.44,1875.53,1.702857143,2.02,31.295,42.625
Linseed,2019,Rabi,karnataka,818.0,399,1422.3,140499.68,302.66,0.381,1.31,24.77,59.172000000000004
Maize,2019,Kharif,karnataka,1355321.0,4228095,1422.3,232789935.0,501468.77,3.572068966,25.98,24.978,80.704
Maize,2019,Rabi,karnataka,114070.0,394898,1422.3,19592663.2,42205.9,3.466785714,1.31,24.77,59.172000000000004
Maize,2019,Summer,karnataka,31000.0,122718,1422.3,5324560.0,11470.0,3.905357143,2.02,31.295,42.625
Moong(Green Gram),2019,Kharif,karnataka,392336.0,138221,1422.3,67387631.36,145164.32,0.298461538,25.98,24.978,80.704
Moong(Green Gram),2019,Rabi,karnataka,11109.0,2731,1422.3,1908081.84,4110.33,0.215416667,1.31,24.77,59.172000000000004
Moong(Green Gram),2019,Summer,karnataka,310.0,51,1422.3,53245.6,114.7,0.088571429,2.02,31.295,42.625
Niger seed,2019,Kharif,karnataka,999.0,245,1422.3,171588.24,369.63,0.207083333,25.98,24.978,80.704
Onion,2019,Kharif,karnataka,155401.0,1255733,1422.3,26691675.76,57498.37,8.256153846,25.98,24.978,80.704
Onion,2019,Rabi,karnataka,36940.0,515416,1422.3,6344814.4,13667.8,13.21884615,1.31,24.77,59.172000000000004
Onion,2019,Summer,karnataka,10300.0,119070,1422.3,1769128.0,3811.0,11.37333333,2.02,31.295,42.625
Other  Rabi pulses,2019,Rabi,karnataka,13219.0,12415,1422.3,2270495.44,4891.03,0.855,1.31,24.77,59.172000000000004
Other Kharif pulses,2019,Kharif,karnataka,37740.0,30652,1422.3,6482222.4,13963.8,0.788333333,25.98,24.978,80.704
Potato,2019,Kharif,karnataka,17797.0,124958,1422.3,3056812.72,6584.89,7.178214286,25.98,24.978,80.704
Potato,2019,Rabi,karnataka,4477.0,69340,1422.3,768969.52,1656.49,15.27291667,1.31,24.77,59.172000000000004
Potato,2019,Summer,karnataka,458.0,7162,1422.3,78666.08,169.46,15.88222222,2.02,31.295,42.625
Ragi,2019,Kharif,karnataka,625797.0,1092419,1422.3,107486892.7,231544.89,1.675357143,25.98,24.978,80.704
Ragi,2019,Rabi,karnataka,41861.0,59315,1422.3,7190045.36,15488.57,1.409259259,1.31,24.77,59.172000000000004
Ragi,2019,Summer,karnataka,6055.0,10797,1422.3,1040006.8,2240.35,1.806666667,2.02,31.295,42.625
Rapeseed &Mustard,2019,Kharif,karnataka,230.0,54,1422.3,39504.8,85.1,0.166842105,25.98,24.978,80.704
Rice,2019,Kharif,karnataka,964087.0,3088937,1422.3,165591583.1,356712.19,2.924,25.98,24.978,80.704
Rice,2019,Rabi,karnataka,11266.0,31038,1422.3,1935048.16,4168.42,2.881428571,1.31,24.77,59.172000000000004
Rice,2019,Summer,karnataka,272701.0,827998,1422.3,46839123.76,100899.37,2.86862069,2.02,31.295,42.625
Safflower,2019,Rabi,karnataka,26593.0,24556,1422.3,4567613.68,9839.41,0.8256,1.31,24.77,59.172000000000004
Sesamum,2019,Kharif,karnataka,30964.0,26306,1422.3,5318376.64,11456.68,0.818888889,25.98,24.978,80.704
Small millets,2019,Kharif,karnataka,52381.0,38089,1422.3,8996960.56,19380.97,0.555357143,25.98,24.978,80.704
Soyabean,2019,Kharif,karnataka,336850.0,378700,1422.3,57857356.0,124634.5,1.065555556,25.98,24.978,80.704
Sunflower,2019,Kharif,karnataka,105942.0,80163,1422.3,18196597.92,39198.54,0.726,25.98,24.978,80.704
Sunflower,2019,Rabi,karnataka,25163.0,18299,1422.3,4321996.88,9310.31,0.904210526,1.31,24.77,59.172000000000004
Sunflower,2019,Summer,karnataka,4487.0,4869,1422.3,770687.12,1660.19,1.268181818,2.02,31.295,42.625
Urad,2019,Kharif,karnataka,68513.0,32210,1422.3,11767792.88,25349.81,0.384285714,25.98,24.978,80.704
Urad,2019,Rabi,karnataka,2875.0,1341,1422.3,493810.0,1063.75,0.3375,1.31,24.77,59.172000000000004
